2000	11	174.200
2000	12	174.600
2001	01	175.600
2001	02	176.000
2001	03	176.100
2001	04	176.400
2001	05	177.300
2001	06	177.700
2001	07	177.400
2001	08	177.400
2001	09	178.100
2001	10	177.600
2001	11	177.500
2001	12	177.400
2002	01	177.700
2002	02	178.000
2002	03	178.500
2002	04	179.300
2002	05	179.500
2002	06	179.600
2002	07	180.000
2002	08	180.500
2002	09	180.800
2002	10	181.200
2002	11	181.500
2002	12	181.800
2003	01	182.600
2003	02	183.600
2003	03	183.900
2003	04	183.200
2003	05	182.900
2003	06	183.100
2003	07	183.700
2003	08	184.500
2003	09	185.100
2003	10	184.900
2003	11	185.000
2003	12	185.500
2004	01	186.200
2004	02	186.700
2004	03	187.100
2004	04	187.400
2004	05	188.200
2004	06	188.900
2004	07	189.100
2004	08	189.400
2004	09	189.800
2004	10	190.800
2004	11	191.600
2004	12	191.700
2005	01	191.700
2005	02	192.300
2005	03	192.900
2005	04	193.800
2005	05	193.500
2005	06	193.600
2005	07	194.900
2005	08	196.200
2005	09	198.800
2005	10	199.200
2005	11	198.300
2005	12	198.200
2006	01	199.400
2006	02	199.300
2006	03	199.600
2006	04	200.600
2006	05	201.300
2006	06	201.900
2006	07	202.900
2006	08	203.800
2006	09	202.900
2006	10	201.900
2006	11	202.100
2006	12	203.300
2007	01	203.552
2007	02	204.158
2007	03	205.098
2007	04	205.751
2007	05	206.700
2007	06	207.246
2007	07	207.708
2007	08	207.749
2007	09	208.509
2007	10	209.055
2007	11	210.930
2007	12	211.680
